category,name,ingredients,method,garnish
New Era Drinks,Illegal,"30 ml Espadin Mezcal,15 ml Jamaica Overproof White Rum,15 ml Falernum,1 Bar Spoon Maraschino Luxardo,22.5 ml Fresh Lime Juice,15 ml Simple Syrup,Few Drops of Egg White (Optional)","Pour all ingredients into the shaker. Shake vigorously with ice. Strain into a chilled cocktail glass, or “on the rocks” in a traditional clay or terracotta mug.",NA
New Era Drinks,Lemon drop Martini,"30 ml Vodka Citron,20 ml Triple Sec,15 ml Fresh Lemon Juice","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",Garnish with sugar rim around the glass.
New Era Drinks,Naked and Famous,"22.5 ml Mezcal,22.5 ml Yellow Chartreuse,22.5 ml Aperol,22.5 ml Fresh Lime Juice","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",NA
New Era Drinks,New York Sour,"60 ml Rye Whiskey or Bourbon,22.5 ml Simple syrup,30 ml Fresh lemon juice,Few Drops of Egg White,15 ml Red wine (Shiraz or Malbech)",Pour all ingredients into the shaker. Shake vigorously with ice. Strain into a chilled rocks glass filled with ice. Float the wine on top.,Garnish with lemon or orange zest with cherry.
New Era Drinks,Old Cuban,"6/8 pcs Mint Leaves,45 ml Aged Rum,22.5 ml Fresh Lime Juice,30 ml Simple Syrup,2 Dashes Angostura Bitters,60 ml Brut Champagne or Prosecco","Pour all ingredients into cocktail shaker except the wine, shake well with ice, strain into chilled elegant cocktail glass. Top up with the sparkling wine.",Garnish with mint springs.
New Era Drinks,Paloma,"50 ml 100% Agave Tequila,5 ml Fresh lime,A pinch of Salt,100 ml Pink Grapefruit Soda","Poor the tequila into a highball glass, squeeze the lime juice. Add ice and salt, fill up pink grapefruit soda. Stir gently.",Garnish with a slice of lime.
New Era Drinks,Paper Plane,"30 ml Bourbon Whiskey,30 ml Amaro Nonino,30 ml Aperol,30 ml Fresh Lemon Juice","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",NA
New Era Drinks,Penicillin,"60 ml Blended Scotch Whisky,7.5 ml Lagavulin 16 y Whisky,22.5 ml Fresh Lemon Juice,22.5 ml Honey Syrup,2-3 quarter size Sliced Fresh Ginger","Muddle fresh ginger in a shaker and add the remaining ingredients, except for the Islay single malt whiskey. Fill the shaker with ice and shake. Double-strain into a chilled old fashioned glass with ice. Float the single malt whisky on top.",Garnish with candied ginger.
New Era Drinks,Russian Spring Punch,"25 ml Vodka,25 ml Fresh Lemon Juice,15 ml Crème de Cassis,10 ml Sugar syrup,Top up Sparkling wine","Pour all ingredients into a cocktail shaker except the sparkling wine, shake well with ice, strain into a chilled tall tumbler glass filled with ice, and top up with sparkling wine.",Garnish with blackberries and optionally a lemon slice as well.
New Era Drinks,Southside,"60 ml London Dry Gin,30 ml Fresh Lemon Juice,15 ml Simple Syrup,5/6 Mint Leaves,Few Drops of Egg White (Optional)","Pour all ingredients into a cocktail shaker, shake well with ice, double-strain into chilled cocktail glass. Note: If egg white is used shake vigorously.",Garnish with mint springs.
New Era Drinks,Spicy Fifty,"50 ml Vodka Vanilla,15 ml Elderflower Cordial,15 ml Fresh Lime Juice,10 ml Monin Honey Syrup,2 thin Slices Red Chili Pepper","Pour all ingredients into a cocktail shaker, shake well with ice, double-strain into chilled cocktail glass.",Garnish with a red chili pepper
New Era Drinks,Spritz,"90 ml Prosecco,60 ml Aperol,Splash of Soda water","Build all ingredients into a wine glass filled with ice. Stir gently. NOTE: There are other versions of the Spritz that use Campari, Cynar or Select instead of Aperol.",Garnish with a slice of orange.
New Era Drinks,Suffering Bastard,"30 ml Cognac or Brandy,30 ml Gin,15 ml Fresh Lime Juice,2 Dashes Angostura Bitters,Top up Ginger beer","Pour all ingredients into a cocktail shaker except the ginger beer, shake well with ice, Pour unstrained into a Collins glass or in the original S. Bastard mug and top up with ginger beer.",Garnish with mint springs and optionally an orange slice as well.
New Era Drinks,Tipperary,"50 ml Irish Whiskey,25 ml Sweet Red Vermouth,15 ml Green Chartreuse,2 Dashes Angostura Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,Garnish with a slice of orange.
New Era Drinks,Tommy's Margarita,"60 ml Tequila Agave 100% Reposado,30 ml Fresh Lime Juice (Persiano),30 ml Agave Syrup (1/2 Water + 1/2 Agave Nectar)","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled rocks glass filled with ice.",Garnish with a lime slice.
New Era Drinks,Trinidad Sour,"45 ml Angostura Bitters,30 ml Orgeat Syrup,22.5 ml Fresh Lemon Juice,15 ml Rye Whisky","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",NA
New Era Drinks,VE.N.TO,"45 ml White Smooth Grappa,22.5 ml Fresh lemon Juice,15 ml Honey mix (replace water with chamomile),15 ml Chamomile cordial,10 ml Egg White (Optional)",Pour all ingredients into the shaker. Shake vigorously with ice. Strain into a chilled small tumbler glass filled with ice. Notes: If desired water can be replaced by chamomile infusion in the honey mix.,Garnish with lemon zest and white grapes.
New Era Drinks,Yellow Bird,"30 ml White rum,15 ml Galliano,15 ml Triple Sec,15 ml Fresh Lime Juice","Pour all ingredients into a cocktail shaker, shake well with ice, strain into chilled cocktail glass.",NA
The Unforgettables,Alexander,"30 ml Cognac,30 ml Crème de Cacao (Brown),30 ml Fresh Cream",Pour all ingredients into cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,Sprinkle fresh ground nutmeg on top.
The Unforgettables,Americano,"30 ml Bitter Campari,30 ml Sweet Red Vermouth,A splash of Soda Water",Mix the ingredients directly in an old fashioned glass filled with ice cubes. Add a splash of Soda Water. Stir gently.,Garnish with half orange slice and a lemon zest.
The Unforgettables,Angel Face,"30 ml Gin,30 ml Apricot Brandy,30 ml Calvados",Pour all ingredients into cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,NA
The Unforgettables,Aviation,"45 ml Gin,15 ml Maraschino Luxardo,15 ml Fresh Lemon Juice,1 Bar Spoon Crème de Violette",Add all ingredients into a cocktail shaker. Shake with cracked ice and strain into a chilled cocktail glass.,Optional Maraschino Cherry.
The Unforgettables,Between the Sheets,"30 ml White Rum,30 ml Cognac,30 ml Triple Sec,20 ml Fresh Lemon Juice",Add all ingredients into a cocktail shaker. Shake with ice and strain into a chilled cocktail glass.,NA
The Unforgettables,Boulevardier,"45 ml Bourbon or Rye Whiskey,30 ml Bitter Campari,30 ml Sweet Red Vermouth",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,"Garnish with orange zest, optionally a lemon zest."
The Unforgettables,Brandy Crusta,"52.5 ml Brandy,7.5 ml Maraschino Luxardo,1 Bar Spoon Curacao,15 ml Fresh Lemon Juice,1 Bar Spoon Simple Syrup,2 Dashes Aromatic Bitters",Mix together all ingredients with ice cubes in a mixing glass and strain into prepared slim cocktail glass.,"Rub a slice of orange (or lemon) around the rim of the glass and dip it in pulverized white sugar, so that the sugar will adhere to the edge of the glass. Carefully curling place the orange/lemon peel around the inside of the glass."
The Unforgettables,Casino,"40 ml Old Tom Gin,10 ml Maraschino Luxardo,10 ml Fresh Lemon Juice,2 Dashes Orange Bitters","Pour all ingredients into cocktails shaker, shake well with ice, strain into chilled rocks glass with ice.",Garnish with lemon zest and a maraschino cherry.
The Unforgettables,Clover Club,"45 ml Gin,15 ml Raspberry Syrup,15 ml Fresh Lemon Juice,Few Drops of Egg White","Pour all ingredients into cocktails shaker, shake well with ice, strain into chilled cocktail glass.",Fresh raspberries.
The Unforgettables,Daiquiri,"60 ml White Cuban Ron,20 ml Fresh Lime Juice,2 Bar Spoons Superfine Sugar",In a cocktail shaker add all ingredients. Stir well to dissolve the sugar. Add ice and shake. Strain into chilled cocktail glass.,NA
The Unforgettables,Dry Martini,"60 ml Gin,10 ml Dry Vermouth",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,"Squeeze oil from lemon peel onto the drink, or garnish with green olives if requested."
The Unforgettables,Gin Fizz,"45 ml Gin,30 ml Fresh Lemon Juice,10 ml Simple Syrup,Splash of Soda Water","Shake all ingredients with ice except soda water. Pour into thin tall Tumbler glass , top with a splash soda water.  NOTE: Serve without ice.","Garnish with a lemon slice, optional lemon zest."
The Unforgettables,Hanky Panky,"45 ml London Dry Gin,45 ml Sweet Red Vermouth,7.5 ml Fernet Branca",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.,Orange zest.
The Unforgettables,John Collins,"45 ml Gin,30 ml Fresh Lemon Juice,15 ml Simple Syrup,60 ml Soda Water",Pour all ingredients directly into a highball filled with ice. Stir gently. NOTE: Use ‘Old Tom' Gin for Tom Collins.,Garnish with a lemon slice and maraschino cherry.
The Unforgettables,Last word,"22.5 ml Gin,22.5 ml Green Chartreuse,22.5 ml Maraschino Luxardo,22.5 ml Fresh Lime Juice",Add all ingredients into a cocktail shaker. Shake with ice and strain into a chilled cocktail glass.,NA
The Unforgettables,Manhattan,"50 ml Rye Whiskey,20 ml Sweet Red Vermouth,1 dash Angostura Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,Garnish with a cocktail cherry.
The Unforgettables,Martinez,"45 ml London Dry Gin,45 ml Sweet Red Vermouth,1 Bar Spoon Maraschino Liqueur,2 Dashes Orange Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,Lemon zest.
The Unforgettables,Mary Pickford,"45 ml White Rum,45 ml Fresh Pineapple Juice,7.5 ml Maraschino Luxardo,5 ml Grenadine Syrup","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",NA
The Unforgettables,Monkey Gland,"45 ml Dry Gin,45 ml Fresh Orange Juice,1 Table Spoon Absinthe,1 Table Spoon Grenadine Syrup","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",NA
The Unforgettables,Negroni,"30 ml Gin,30 ml Bitter Campari,30 ml Sweet Red Vermouth","Pour all ingredients directly into a chilled old fashioned glass filled with ice, Stir gently.",Garnish with a half orange slice.
The Unforgettables,Old Fashioned,"45 ml Bourbon or Rye Whiskey,1 Sugar Cube,Few Dashes Angostura Bitters,Few Dashes Plain Water","Place sugar cube in old fashioned glass and saturate with bitter, add few dashes of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Stir gently.","Garnish with an orange slice or zest, and a cocktail cherry."
The Unforgettables,Paradise,"30 ml Gin,20 ml Apricot Brandy,15 ml Fresh Orange Juice","Pour all ingredients into cocktail shaker, shake well with ice, strain into chilled cocktail glass.",NA
The Unforgettables,Planter's Punch,"45 ml Jamaican Rum,15 ml Lime Juice,30 ml Sugar Cane Juice","Pour all ingredients directly in a small tumbler or a typical terracotta glass. NOTE: Add dilution up to taste, it can be given by water, ice or fresh juices.",Garnish with orange zest.
The Unforgettables,Porto Flip,"15 ml Brandy,45 ml Red Tawny Port Wine,10 ml Egg Yolk","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",Sprinkle with fresh ground nutmeg.
The Unforgettables,Ramos Fizz,"45 ml Gin,15 ml Fresh Lime Juice,15 ml Fresh Lemon Juice,30 ml Sugar Syrup,60 ml Cream,30 ml Egg white,3 Dashes Orange Flower Water,2 Drops Vanilla Extract,Soda Water","Pour all ingredients except soda water in a cocktail shaker with ice, Shake for two minutes, double strain in a glass, pour the drink back in the shaker, and hard shake without ice for one minute. Strain into a highball glass, top up with soda. NOTE: The drink was invented by Henry Ramos in 1888, at his bar Meyer's Table d'Hôtel Internationale in New Orleans. The Ramos Fizz was originally shaken for 12 minutes by a crew of 30 bartenders who passed the shaker from one to another.",NA
The Unforgettables,Rusty Nail,"45 ml Scotch Whisky,25 ml Drambuie",Pour all ingredients directly into an old fashioned glass filled with ice. Stir gently.,Garnish with lemon zest.
The Unforgettables,Sazerac,"50 ml Cognac,10 ml Absinthe,1 Sugar Cube,2 Dashes Peychaud's Bitters","Rinse a chilled old-fashioned glass with the absinthe, add crushed ice and set it aside. Stir the remaining ingredients over ice in a mixing glass. Discard the ice and any excess absinthe from the prepared glass, strain the mixed drink into the glass.  NOTE: The original recipe changed after the American Civil War, Rye Whiskey substituted Cognac as it became hard to obtain.",Garnish with lemon zest.
The Unforgettables,Sidecar,"50 ml Cognac,20 ml Triple Sec,20 ml Fresh Lemon Juice","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",NA
The Unforgettables,Stinger,"50 ml Cognac,20 ml White Crème de Menthe",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,Optional mint leave.
The Unforgettables,Tuxedo,"30 ml Old Tom Gin,30 ml Dry Vermouth,1/2 Bar Spoon Maraschino Luxardo,1/4 Bar Spoon of Absinthe,3 Dashes Orange Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled martini cocktail glass.,Garnish with cherry and lemon zest
The Unforgettables,Vieux Carrè,"30 ml Rye Whiskey,30 ml Cognac,30 ml Sweet Vermouth,1 Bar Spoon Bénédictine,2 Dashes Peychaud's Bitters",Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into a chilled cocktail glass.,Garnish with orange zest and maraschino cherry.
The Unforgettables,Whiskey Sour,"45 ml Bourbon Whiskey,25 ml Fresh Lemon Juice,20 ml Sugar Syrup,20 ml Egg White (Optional)","Pour all ingredients into a cocktail shaker filled with ice. Shake well. Strain into cobbler glass. If served “On the rocks”, strain ingredients into an old fashioned glass filled with ice.  NOTE: If egg white is used shake little harder to release and incorporate the foam from the egg white.","Garnish with a half orange slice and maraschino cherry, optionally use orange zest."
The Unforgettables,White Lady,"40 ml Gin,30 ml Triple Sec,20 ml Fresh Lemon Juice","Pour all ingredients into a cocktail shaker, shake well with ice, strain into a chilled cocktail glass.",NA
